handwritten,rules,cost-filter,no-dup-vars,sub-prog,split-phase,bench,id,variable,value
True,t2.json,-10,True,True,True,q-prod,0,time,Timed out.
True,t2.json,-10,True,True,True,q-prod,0,cost,-1.0
True,t2.json,-10,True,True,True,q-prod,0,phase_1_n,
True,t2.json,-10,True,True,True,q-prod,0,phase_2_n,
True,t2.json,-10,True,True,True,q-prod,0,impr_cost,
True,t2.json,-10,True,True,True,2d-conv,1,time,Timed out.
True,t2.json,-10,True,True,True,2d-conv,1,cost,-1.0
True,t2.json,-10,True,True,True,2d-conv,1,phase_1_n,
True,t2.json,-10,True,True,True,2d-conv,1,phase_2_n,
True,t2.json,-10,True,True,True,2d-conv,1,impr_cost,
True,t2.json,-10,True,True,True,mat-mul,2,time,581.1809723377228
True,t2.json,-10,True,True,True,mat-mul,2,cost,-1.0
True,t2.json,-10,True,True,True,mat-mul,2,phase_1_n,
True,t2.json,-10,True,True,True,mat-mul,2,phase_2_n,
True,t2.json,-10,True,True,True,mat-mul,2,impr_cost,
True,t2.json,-10,True,True,False,q-prod,3,time,Timed out.
True,t2.json,-10,True,True,False,q-prod,3,cost,-1.0
True,t2.json,-10,True,True,False,q-prod,3,phase_1_n,
True,t2.json,-10,True,True,False,q-prod,3,phase_2_n,
True,t2.json,-10,True,True,False,q-prod,3,impr_cost,
True,t2.json,-10,True,True,False,2d-conv,4,time,Timed out.
True,t2.json,-10,True,True,False,2d-conv,4,cost,-1.0
True,t2.json,-10,True,True,False,2d-conv,4,phase_1_n,
True,t2.json,-10,True,True,False,2d-conv,4,phase_2_n,
True,t2.json,-10,True,True,False,2d-conv,4,impr_cost,
True,t2.json,-10,True,True,False,mat-mul,5,time,613.8936641216278
True,t2.json,-10,True,True,False,mat-mul,5,cost,-1.0
True,t2.json,-10,True,True,False,mat-mul,5,phase_1_n,
True,t2.json,-10,True,True,False,mat-mul,5,phase_2_n,
True,t2.json,-10,True,True,False,mat-mul,5,impr_cost,
True,t2.json,-10,True,False,True,q-prod,6,time,527.7628302574158
True,t2.json,-10,True,False,True,q-prod,6,cost,-1.0
True,t2.json,-10,True,False,True,q-prod,6,phase_1_n,3010
True,t2.json,-10,True,False,True,q-prod,6,phase_2_n,
True,t2.json,-10,True,False,True,q-prod,6,impr_cost,
True,t2.json,-10,True,False,True,2d-conv,7,time,687.6447143554688
True,t2.json,-10,True,False,True,2d-conv,7,cost,-1.0
True,t2.json,-10,True,False,True,2d-conv,7,phase_1_n,2999
True,t2.json,-10,True,False,True,2d-conv,7,phase_2_n,
True,t2.json,-10,True,False,True,2d-conv,7,impr_cost,
True,t2.json,-10,True,False,True,mat-mul,8,time,216.75820469856262
True,t2.json,-10,True,False,True,mat-mul,8,cost,-1.0
True,t2.json,-10,True,False,True,mat-mul,8,phase_1_n,2999
True,t2.json,-10,True,False,True,mat-mul,8,phase_2_n,
True,t2.json,-10,True,False,True,mat-mul,8,impr_cost,
True,t2.json,-10,True,False,False,q-prod,9,time,1007.5146660804749
True,t2.json,-10,True,False,False,q-prod,9,cost,-1.0
True,t2.json,-10,True,False,False,q-prod,9,phase_1_n,3010
True,t2.json,-10,True,False,False,q-prod,9,phase_2_n,
True,t2.json,-10,True,False,False,q-prod,9,impr_cost,
True,t2.json,-10,True,False,False,2d-conv,10,time,1956.043895483017
True,t2.json,-10,True,False,False,2d-conv,10,cost,-1.0
True,t2.json,-10,True,False,False,2d-conv,10,phase_1_n,2999
True,t2.json,-10,True,False,False,2d-conv,10,phase_2_n,
True,t2.json,-10,True,False,False,2d-conv,10,impr_cost,
True,t2.json,-10,True,False,False,mat-mul,11,time,197.21060585975647
True,t2.json,-10,True,False,False,mat-mul,11,cost,-1.0
True,t2.json,-10,True,False,False,mat-mul,11,phase_1_n,2999
True,t2.json,-10,True,False,False,mat-mul,11,phase_2_n,
True,t2.json,-10,True,False,False,mat-mul,11,impr_cost,
True,t2.json,-10,False,True,True,q-prod,12,time,Timed out.
True,t2.json,-10,False,True,True,q-prod,12,cost,-1.0
True,t2.json,-10,False,True,True,q-prod,12,phase_1_n,6
True,t2.json,-10,False,True,True,q-prod,12,phase_2_n,1247
True,t2.json,-10,False,True,True,q-prod,12,impr_cost,
True,t2.json,-10,False,True,True,2d-conv,13,time,Timed out.
True,t2.json,-10,False,True,True,2d-conv,13,cost,-1.0
True,t2.json,-10,False,True,True,2d-conv,13,phase_1_n,16
True,t2.json,-10,False,True,True,2d-conv,13,phase_2_n,1247
True,t2.json,-10,False,True,True,2d-conv,13,impr_cost,
True,t2.json,-10,False,True,True,mat-mul,14,time,Timed out.
True,t2.json,-10,False,True,True,mat-mul,14,cost,-1.0
True,t2.json,-10,False,True,True,mat-mul,14,phase_1_n,4
True,t2.json,-10,False,True,True,mat-mul,14,phase_2_n,1247
True,t2.json,-10,False,True,True,mat-mul,14,impr_cost,
True,t2.json,-10,False,True,False,q-prod,15,time,3973.969354867935
True,t2.json,-10,False,True,False,q-prod,15,cost,596.163
True,t2.json,-10,False,True,False,q-prod,15,phase_1_n,6
True,t2.json,-10,False,True,False,q-prod,15,phase_2_n,
True,t2.json,-10,False,True,False,q-prod,15,impr_cost,
True,t2.json,-10,False,True,False,2d-conv,16,time,1105.5529901981354
True,t2.json,-10,False,True,False,2d-conv,16,cost,459.7319999999999
True,t2.json,-10,False,True,False,2d-conv,16,phase_1_n,16
True,t2.json,-10,False,True,False,2d-conv,16,phase_2_n,
True,t2.json,-10,False,True,False,2d-conv,16,impr_cost,
True,t2.json,-10,False,True,False,mat-mul,17,time,124.38442778587341
True,t2.json,-10,False,True,False,mat-mul,17,cost,4.948
True,t2.json,-10,False,True,False,mat-mul,17,phase_1_n,4
True,t2.json,-10,False,True,False,mat-mul,17,phase_2_n,
True,t2.json,-10,False,True,False,mat-mul,17,impr_cost,
True,t2.json,-10,False,False,True,q-prod,18,time,1814.5770239830017
True,t2.json,-10,False,False,True,q-prod,18,cost,-1.0
True,t2.json,-10,False,False,True,q-prod,18,phase_1_n,260954
True,t2.json,-10,False,False,True,q-prod,18,phase_2_n,
True,t2.json,-10,False,False,True,q-prod,18,impr_cost,
True,t2.json,-10,False,False,True,2d-conv,19,time,Timed out.
True,t2.json,-10,False,False,True,2d-conv,19,cost,-1.0
True,t2.json,-10,False,False,True,2d-conv,19,phase_1_n,260943
True,t2.json,-10,False,False,True,2d-conv,19,phase_2_n,1247
True,t2.json,-10,False,False,True,2d-conv,19,impr_cost,
True,t2.json,-10,False,False,True,mat-mul,20,time,3905.20290851593
True,t2.json,-10,False,False,True,mat-mul,20,cost,4.156000000000001
True,t2.json,-10,False,False,True,mat-mul,20,phase_1_n,260943
True,t2.json,-10,False,False,True,mat-mul,20,phase_2_n,1247
True,t2.json,-10,False,False,True,mat-mul,20,impr_cost,0.395999999999999
True,t2.json,-10,False,False,False,q-prod,21,time,2799.192069530487
True,t2.json,-10,False,False,False,q-prod,21,cost,-1.0
True,t2.json,-10,False,False,False,q-prod,21,phase_1_n,260954
True,t2.json,-10,False,False,False,q-prod,21,phase_2_n,
True,t2.json,-10,False,False,False,q-prod,21,impr_cost,
True,t2.json,-10,False,False,False,2d-conv,22,time,3910.519306898117
True,t2.json,-10,False,False,False,2d-conv,22,cost,441.3640000000001
True,t2.json,-10,False,False,False,2d-conv,22,phase_1_n,260943
True,t2.json,-10,False,False,False,2d-conv,22,phase_2_n,
True,t2.json,-10,False,False,False,2d-conv,22,impr_cost,
True,t2.json,-10,False,False,False,mat-mul,23,time,3904.5865585803986
True,t2.json,-10,False,False,False,mat-mul,23,cost,4.552
True,t2.json,-10,False,False,False,mat-mul,23,phase_1_n,260943
True,t2.json,-10,False,False,False,mat-mul,23,phase_2_n,
True,t2.json,-10,False,False,False,mat-mul,23,impr_cost,
True,t2.json,0,True,True,True,q-prod,24,time,Timed out.
True,t2.json,0,True,True,True,q-prod,24,cost,-1.0
True,t2.json,0,True,True,True,q-prod,24,phase_1_n,8
True,t2.json,0,True,True,True,q-prod,24,phase_2_n,2718
True,t2.json,0,True,True,True,q-prod,24,impr_cost,
True,t2.json,0,True,True,True,2d-conv,25,time,3985.4501938819885
True,t2.json,0,True,True,True,2d-conv,25,cost,24.987999999999996
True,t2.json,0,True,True,True,2d-conv,25,phase_1_n,16
True,t2.json,0,True,True,True,2d-conv,25,phase_2_n,2712
True,t2.json,0,True,True,True,2d-conv,25,impr_cost,4.759999999999998
True,t2.json,0,True,True,True,mat-mul,26,time,3915.7381858825684
